220954::Theta Psc
219765::Tau Oct
221115::70 Peg
221507::Beta Scl
221756::15 And
221760::Iota Phe
222107::Lambda And
222173::Iota And
222404:Errai:Gamma Cep
222368::Iota Psc
222439::Kappa And
222433::Mu Scl
222603::Lambda Psc
222661::Omg
222847::106 Aqr
223047::Psi And
223252::20 Psc
223352::Delta Scl
223768::Phi Peg
223781::82 Peg
224014::Rho Cas
224309:V Cep:
224427::Psi Peg
224533::27 Psc
224554::Pi Phe
224617::Omg
224686::Epsilon Tuc
95735:Lalande 21185:
217987:Ross 128:
33793:Kapteyn's Star:
268506346:Proxima Centauri:
268523393:Barnard's Star:
268527859:Ross 154:
1326:Lacaille 9352:
206936::Mu Cep
217014::51 Peg
0:Sol:
268439285:Van Maanen's Star:
143761::Rho CrB
13445:Gliese 86:
268548476:Gliese 876:
145675:Gliese 614:14 Her
17051::Iota Hor
27442::Epsilon Ret
186427::16 Cyg
16141::79 Cet
75732::55 Cnc
1237:GJ3021:
169830:HR 810:
37742::Zeta Ori
196524::Beta Del
109085::Alpha Crv
89484::Gamma Leo
144218::Beta Sco
176687::Zeta Sgr
19476::Kappa Per
14386:Mira:Omicron Cet
16970::Gamma Cet
54719::Tau Gem
40312::Theta Aur
11502::Gamma Ari
186882::Delta Cyg
140436::Gamma CrB
140714::Delta CrB
143807::Iota CrB
110304::Gamma Cen
93497::Mu Vel
74956::Delta Vel
110379::Gamma Vir
93308::Eta Car
150680::Zeta Her
173582::Epsilon Lyr
